"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Rodney Stuckey",4500,"Ind@SA 08:30PM ET",20.464,"Ind"
"PF","Terrence Jones",4500,"Cha@Hou 08:00PM ET",20.065,"Hou"
"SF","Bojan Bogdanovic",4500,"Bkn@Chi 08:00PM ET",15.596,"Bkn"
"SG","Rodney Hood",4500,"Pho@Uta 09:00PM ET",21.365,"Uta"
"SF","T.J. Warren",4500,"Pho@Uta 09:00PM ET",18.389,"Pho"
"SF","Jared Dudley",4400,"Sac@Was 07:00PM ET",17.469,"Was"
"PF","Amir Johnson",4400,"Min@Bos 07:30PM ET",20.500,"Bos"
"C","Kosta Koufos",4400,"Sac@Was 07:00PM ET",20.510,"Sac"
"PF","Markieff Morris",4400,"Pho@Uta 09:00PM ET",21.776,"Pho"
"SG","Kyle Korver",4300,"Por@Atl 08:00PM ET",20.875,"Atl"
"SG","Gary Neal",4300,"Sac@Was 07:00PM ET",16.489,"Was"
"PF","Taj Gibson",4300,"Bkn@Chi 08:00PM ET",18.700,"Chi"
"PF","Trevor Booker",4300,"Pho@Uta 09:00PM ET",17.208,"Uta"
"PF","Ed Davis",4300,"Por@Atl 08:00PM ET",20.732,"Por"
"PG","Trey Burke",4300,"Pho@Uta 09:00PM ET",19.620,"Uta"
"SG","Manu Ginobili",4200,"Ind@SA 08:30PM ET",21.380,"SA"
"C","Tyson Chandler",4200,"Pho@Uta 09:00PM ET",17.934,"Pho"
"SF","Corey Brewer",4200,"Cha@Hou 08:00PM ET",15.509,"Hou"
"C","Kelly Olynyk",4200,"Min@Bos 07:30PM ET",18.846,"Bos"
"PG","Shane Larkin",4200,"Bkn@Chi 08:00PM ET",18.094,"Bkn"
"PG","Ramon Sessions",4100,"Sac@Was 07:00PM ET",17.050,"Was"
"PG","Jose Calderon",4100,"Orl@NY 07:30PM ET",18.268,"NY"
"SF","Thabo Sefolosha",4100,"Por@Atl 08:00PM ET",19.094,"Atl"
"SG","Dion Waiters",4100,"OKC@LAC 10:30PM ET",19.880,"OKC"
"SF","Mirza Teletovic",4100,"Pho@Uta 09:00PM ET",16.232,"Pho"
"SG","Garrett Temple",4000,"Sac@Was 07:00PM ET",12.413,"Was"
"SF","Marcus Thornton",4000,"Cha@Hou 08:00PM ET",19.190,"Hou"
"C","Frank Kaminsky",4000,"Cha@Hou 08:00PM ET",13.250,"Cha"
"C","Steven Adams",4000,"OKC@LAC 10:30PM ET",17.833,"OKC"
"PF","David Lee",3900,"Min@Bos 07:30PM ET",15.790,"Bos"
"PF","Nene Hilario",3900,"Sac@Was 07:00PM ET",17.604,"Was"
"PF","Kris Humphries",3900,"Sac@Was 07:00PM ET",14.125,"Was"
"C","Robin Lopez",3900,"Orl@NY 07:30PM ET",17.982,"NY"
"SG","Allen Crabbe",3900,"Por@Atl 08:00PM ET",16.045,"Por"
"PF","Donatas Motiejunas",3900,"Cha@Hou 08:00PM ET",11.500,"Hou"
"SG","Ben McLemore",3900,"Sac@Was 07:00PM ET",14.452,"Sac"
"PF","David West",3800,"Ind@SA 08:30PM ET",13.875,"SA"
"PF","Channing Frye",3800,"Orl@NY 07:30PM ET",12.881,"Orl"
"SF","P.J. Tucker",3800,"Pho@Uta 09:00PM ET",15.893,"Pho"
"SG","Danny Green",3800,"Ind@SA 08:30PM ET",17.438,"SA"
"C","Spencer Hawes",3800,"Cha@Hou 08:00PM ET",14.650,"Cha"
"SG","Marco Belinelli",3800,"Sac@Was 07:00PM ET",17.231,"Sac"
"PF","Andrew Nicholson",3800,"Orl@NY 07:30PM ET",16.191,"Orl"
"SG","Langston Galloway",3800,"Orl@NY 07:30PM ET",18.536,"NY"
"SF","Shabazz Muhammad",3800,"Min@Bos 07:30PM ET",12.904,"Min"
"PF","Josh Smith",3700,"OKC@LAC 10:30PM ET",16.027,"LAC"
"PG","Patty Mills",3700,"Ind@SA 08:30PM ET",17.179,"SA"
"C","Meyers Leonard",3700,"Por@Atl 08:00PM ET",17.095,"Por"
"SF","Doug McDermott",3700,"Bkn@Chi 08:00PM ET",13.390,"Chi"
"PG","Ty Lawson",3600,"Cha@Hou 08:00PM ET",16.163,"Hou"
"SF","Lance Thomas",3600,"Orl@NY 07:30PM ET",12.634,"NY"
"SF","Aaron Gordon",3600,"Orl@NY 07:30PM ET",17.720,"Orl"
"PF","Boris Diaw",3500,"Ind@SA 08:30PM ET",14.402,"SA"
"C","Andrea Bargnani",3500,"Bkn@Chi 08:00PM ET",11.284,"Bkn"
"C","Lavoy Allen",3500,"Ind@SA 08:30PM ET",14.580,"Ind"
"SF","Tony Snell",3500,"Bkn@Chi 08:00PM ET",12.940,"Chi"
"SG","Austin Rivers",3500,"OKC@LAC 10:30PM ET",12.938,"LAC"
"PG","Jason Terry",3400,"Cha@Hou 08:00PM ET",10.674,"Hou"
"PG","Aaron Brooks",3400,"Bkn@Chi 08:00PM ET",15.103,"Chi"
"PF","Kyle O'Quinn",3400,"Orl@NY 07:30PM ET",15.272,"NY"
