"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Channing Frye",3600,"Por@Orl 07:00PM ET",12.975,"Orl"
"SF","Aaron Gordon",3600,"Por@Orl 07:00PM ET",18.115,"Orl"
"PG","Randy Foye",3500,"Den@Uta 09:00PM ET",11.680,"Den"
"PF","Boris Diaw",3500,"LAC@SA 08:00PM ET",14.324,"SA"
"SG","Brandon Rush",3500,"Mil@GS 10:30PM ET",10.667,"GS"
"SF","Lance Thomas",3500,"NY@Phi 07:00PM ET",12.077,"NY"
"PG","Greivis Vasquez",3500,"Mil@GS 10:30PM ET",17.047,"Mil"
"C","Lavoy Allen",3500,"Bkn@Ind 07:00PM ET",14.543,"Ind"
"SG","Hollis Thompson",3500,"NY@Phi 07:00PM ET",16.787,"Phi"
"PF","Nemanja Bjelica",3500,"Sac@Min 08:00PM ET",16.298,"Min"
"SF","Tony Snell",3500,"Det@Chi 08:00PM ET",12.870,"Chi"
"SG","Austin Rivers",3500,"LAC@SA 08:00PM ET",13.288,"LAC"
"SF","Shabazz Muhammad",3500,"Sac@Min 08:00PM ET",12.330,"Min"
"SF","Tony Allen",3400,"Mem@Dal 08:30PM ET",14.948,"Mem"
"PG","J.J. Barea",3400,"Mem@Dal 08:30PM ET",16.750,"Dal"
"PG","Aaron Brooks",3400,"Det@Chi 08:00PM ET",15.400,"Chi"
"PG","Shaun Livingston",3400,"Mil@GS 10:30PM ET",12.583,"GS"
"C","Alexis Ajinca",3400,"NO@Pho 10:30PM ET",11.750,"NO"
"PF","Richaun Holmes",3400,"NY@Phi 07:00PM ET",11.544,"Phi"
"C","Andrea Bargnani",3300,"Bkn@Ind 07:00PM ET",10.786,"Bkn"
"PG","Norris Cole",3300,"NO@Pho 10:30PM ET",14.219,"NO"
"C","Omer Asik",3300,"NO@Pho 10:30PM ET",8.403,"NO"
"PF","JaMychal Green",3300,"Mem@Dal 08:30PM ET",13.704,"Mem"
"C","Miles Plumlee",3300,"Mil@GS 10:30PM ET",5.662,"Mil"
"PF","Kyle O'Quinn",3300,"NY@Phi 07:00PM ET",14.548,"NY"
"SF","Lance Stephenson",3300,"LAC@SA 08:00PM ET",12.094,"LAC"
"PG","Kendall Marshall",3300,"NY@Phi 07:00PM ET",13.500,"Phi"
"SG","Nik Stauskas",3300,"NY@Phi 07:00PM ET",15.290,"Phi"
"C","Willie Cauley-Stein",3300,"Sac@Min 08:00PM ET",14.813,"Sac"
"SF","Paul Pierce",3200,"LAC@SA 08:00PM ET",9.450,"LAC"
"PG","Kirk Hinrich",3200,"Det@Chi 08:00PM ET",11.018,"Chi"
"PG","Leandro Barbosa",3200,"Mil@GS 10:30PM ET",12.591,"GS"
"PF","Anthony Tolliver",3200,"Det@Chi 08:00PM ET",12.183,"Det"
"PF","Jason Smith",3200,"Por@Orl 07:00PM ET",11.300,"Orl"
"SF","Dante Cunningham",3200,"NO@Pho 10:30PM ET",12.140,"NO"
"PF","Josh McRoberts",3200,"Tor@Mia 08:00PM ET",10.638,"Mia"
"SF","Alonzo Gee",3200,"NO@Pho 10:30PM ET",11.080,"NO"
"SF","Wesley Johnson",3200,"LAC@SA 08:00PM ET",11.096,"LAC"
"SG","Wayne Ellington",3200,"Bkn@Ind 07:00PM ET",8.844,"Bkn"
"PF","Brandan Wright",3200,"Mem@Dal 08:30PM ET",14.571,"Mem"
"SG","Gerald Henderson",3200,"Por@Orl 07:00PM ET",11.556,"Por"
"PF","Mike Scott",3200,"Atl@Bos 07:30PM ET",10.060,"Atl"
"SF","James Johnson",3200,"Tor@Mia 08:00PM ET",9.679,"Tor"
"C","Nikola Pekovic",3200,"Sac@Min 08:00PM ET",0,"Min"
"C","Jeff Withey",3200,"Den@Uta 09:00PM ET",9.250,"Uta"
"C","Mike Muscala",3200,"Atl@Bos 07:30PM ET",10.571,"Atl"
"SF","Maurice Harkless",3200,"Por@Orl 07:00PM ET",11.843,"Por"
"PG","Raul Neto",3200,"Den@Uta 09:00PM ET",11.870,"Uta"
"C","Myles Turner",3200,"Bkn@Ind 07:00PM ET",12.031,"Ind"
"PF","Trey Lyles",3200,"Den@Uta 09:00PM ET",6.875,"Uta"
"PF","Kevin Garnett",3100,"Sac@Min 08:00PM ET",13.716,"Min"
"SG","Mike Miller",3100,"Den@Uta 09:00PM ET",5.813,"Den"
"PG","Steve Blake",3100,"Det@Chi 08:00PM ET",11.359,"Det"
"PG","Ronnie Price",3100,"NO@Pho 10:30PM ET",9.090,"Pho"
"SF","Tayshaun Prince",3100,"Sac@Min 08:00PM ET",6.910,"Min"
"PG","C.J. Watson",3100,"Por@Orl 07:00PM ET",13.875,"Orl"
"PF","Charlie Villanueva",3100,"Mem@Dal 08:30PM ET",11.163,"Dal"
"SF","Luc Richard Mbah a Moute",3100,"LAC@SA 08:00PM ET",5.313,"LAC"
"C","Aron Baynes",3100,"Det@Chi 08:00PM ET",11.704,"Det"
"SF","Chase Budinger",3100,"Bkn@Ind 07:00PM ET",10.969,"Ind"
"C","Marreese Speights",3100,"Mil@GS 10:30PM ET",10.057,"GS"
"C","Tiago Splitter",3100,"Atl@Bos 07:30PM ET",12.486,"Atl"
"C","Tyler Zeller",3100,"Atl@Bos 07:30PM ET",7.338,"Bos"
"PG","Seth Curry",3100,"Sac@Min 08:00PM ET",7.091,"Sac"
"SG","Lamar Patterson",3100,"Atl@Bos 07:30PM ET",7.607,"Atl"
"SF","Derrick Williams",3100,"NY@Phi 07:00PM ET",12.040,"NY"
"PF","Kevin Seraphin",3100,"NY@Phi 07:00PM ET",11.088,"NY"
"PG","Shabazz Napier",3100,"Por@Orl 07:00PM ET",9.125,"Orl"
"SG","Markel Brown",3100,"Bkn@Ind 07:00PM ET",6.783,"Bkn"
"SF","Jonathon Simmons",3100,"LAC@SA 08:00PM ET",11.462,"SA"
"SG","James Ennis",3100,"Mem@Dal 08:30PM ET",3.679,"Mem"
"PF","Johnny O'Bryant",3100,"Mil@GS 10:30PM ET",9.500,"Mil"
"C","Dewayne Dedmon",3100,"Por@Orl 07:00PM ET",12.338,"Orl"
"SF","Jakarr Sampson",3100,"NY@Phi 07:00PM ET",10.587,"Phi"
"SF","Kyle Anderson",3100,"LAC@SA 08:00PM ET",8.685,"SA"
"PF","Noah Vonleh",3100,"Por@Orl 07:00PM ET",8.861,"Por"
"SG","Devin Booker",3100,"NO@Pho 10:30PM ET",9.043,"Pho"
"SG","Vince Carter",3000,"Mem@Dal 08:30PM ET",9.614,"Mem"
"PG","Andre Miller",3000,"Sac@Min 08:00PM ET",11.708,"Min"
"PF","Matt Bonner",3000,"LAC@SA 08:00PM ET",5.568,"SA"
"C","Chris Kaman",3000,"Por@Orl 07:00PM ET",6.125,"Por"
"PF","Louis Amundson",3000,"NY@Phi 07:00PM ET",7.636,"NY"
"C","Chris Andersen",3000,"Tor@Mia 08:00PM ET",4.417,"Mia"
"PF","Amar'e Stoudemire",3000,"Tor@Mia 08:00PM ET",7.833,"Mia"
"SF","Caron Butler",3000,"Sac@Min 08:00PM ET",5.469,"Sac"
"SG","Rasual Butler",3000,"LAC@SA 08:00PM ET",6.977,"SA"
"SF","Mike Dunleavy",3000,"Det@Chi 08:00PM ET",0,"Chi"
"PF","Chris Copeland",3000,"Mil@GS 10:30PM ET",4.219,"Mil"
"C","Kendrick Perkins",3000,"NO@Pho 10:30PM ET",7.125,"NO"
"PF","Udonis Haslem",3000,"Tor@Mia 08:00PM ET",6.700,"Mia"
"SG","Sasha Vujacic",3000,"NY@Phi 07:00PM ET",10.222,"NY"
"PG","Beno Udrih",3000,"Tor@Mia 08:00PM ET",8.986,"Mia"
"PG","Toney Douglas",3000,"NO@Pho 10:30PM ET",13.625,"NO"
"PF","Carl Landry",3000,"NY@Phi 07:00PM ET",0,"Phi"
"PF","Joel Anthony",3000,"Det@Chi 08:00PM ET",3.250,"Det"
"PF","Jason Thompson",3000,"Mil@GS 10:30PM ET",5.385,"GS"
